variant,size,schedule_shift,perturbation,perturbation_strength,seed,family,break_level,level,persistence_score,recovery_score,clustering_coefficient,largest_component_fraction,local_overlap,component_count
size_128,128,0.0,0,0.0,35,break_2,2,1,0.2604623374492961,0.6917930724122426,0.7712826910086987,1.0,0.9849531302837531,1
size_128,128,0.0,0,0.0,35,break_2,2,2,0.14279296408971606,0.4851858547809512,0.8929648967917541,1.0,0.9967035300053941,1
size_128,128,0.0,0,0.0,35,break_2,2,3,0.030816593593414456,0.43332951520897633,0.9907391644692467,1.0,0.9982468102899795,1
size_128,128,0.0,0,0.0,23,break_2,2,1,0.25385778304700546,0.737404542251535,0.7851686076671246,1.0,0.9892540918778892,1
size_128,128,0.0,0,0.0,23,break_2,2,2,0.1335217952159389,0.4856951086719885,0.9140561344096076,1.0,0.9926032869090743,1
size_128,128,0.0,0,0.0,23,break_2,2,3,0.023634163982343113,0.367661759591701,0.9917897746175415,1.0,0.9942160092560225,1
size_128,128,0.0,0,0.0,47,break_2,2,1,0.23622326861130993,0.8505368967027,0.7826240814151147,1.0,0.9902385236787923,1
size_128,128,0.0,0,0.0,47,break_2,2,2,0.11163896593891671,0.7288067843886691,0.897399783346311,1.0,0.99648589817668,1
size_128,128,0.0,0,0.0,47,break_2,2,3,0.013163438021951801,0.5852470617552011,0.9883179469872555,1.0,0.9949997596797664,1
size_128,128,0.0,0,0.0,41,break_3,3,1,0.25163203143641133,0.7636543649864089,0.7871490540502788,1.0,0.9880631940867963,1
size_128,128,0.0,0,0.0,41,break_3,3,2,0.13406611638033883,0.6197936550625636,0.9218378823270152,1.0,0.9933844395366278,1
size_128,128,0.0,0,0.0,41,break_3,3,3,0.014742342221426868,0.37942030677755023,0.9975023418986877,1.0,0.9972047275918436,1
size_128,128,0.0,0,0.0,43,break_3,3,1,0.2431465864352183,0.8117796432260405,0.7812394515135114,1.0,0.9889768704953198,1
size_128,128,0.0,0,0.0,43,break_3,3,2,0.12963698252207112,0.6637418135159924,0.9030640788911685,1.0,0.9951286630971796,1
size_128,128,0.0,0,0.0,43,break_3,3,3,0.006612942913385828,0.4324884122317433,0.9938982568230322,1.0,0.9966802403404533,1
size_128,128,0.0,0,0.0,21,break_3,3,1,0.23816381084466717,0.7952323285051882,0.7825095442707249,1.0,0.9909168019933218,1
size_128,128,0.0,0,0.0,21,break_3,3,2,0.13147406645192078,0.674916307963044,0.9067130396226041,1.0,0.9936208909871336,1
size_128,128,0.0,0,0.0,21,break_3,3,3,0.009485541935099023,0.3903608315126923,0.9927869185129856,1.0,0.9952726711137295,1
size_256,256,0.0,0,0.0,42,break_2,2,1,0.09949843100118834,0.7963088926419546,0.7211233720359745,1.0,0.9903403643445687,1
size_256,256,0.0,0,0.0,42,break_2,2,2,0.05356436608734403,0.6117738552279665,0.7930710946199395,1.0,0.9922086126748189,1
size_256,256,0.0,0,0.0,42,break_2,2,3,0.009963838755199052,0.5394787048080129,0.8771311937618972,1.0,0.9955364877701376,1
